match_id,team_id,feature_1,feature_2,feature_3,feature_4,feature_5,feature_6,feature_7,feature_8,feature_9,feature_10,feature_11,feature_12,feature_13,feature_14,feature_15,feature_16,feature_17,feature_18,feature_19,feature_20,feature_21,feature_22,feature_23,feature_24,feature_25,feature_26,feature_27,feature_28,feature_29,feature_30,feature_31,feature_32,feature_33,feature_34,feature_35,feature_36,feature_37,feature_38,feature_39,feature_40,feature_41,feature_42,feature_43,feature_44,feature_45,feature_46,feature_47,feature_48,feature_49,feature_50,feature_51,feature_52,feature_53,feature_54,feature_55,goals_scored,goals_allowed
49513,384,49,53,46,54,28,39,26,20,25,32,48,43,51,30,37,28,22,20,29,48,53,26,39,24,22,25,31,47,21,33,21,18,22,25,30,42,28,22,22,35,27,29,23,15,26,25,20,16,32,21,15,24,13,20,16,1,1
49513,388,40,33,40,27,7,24,16,22,22,10,33,45,40,7,25,19,23,24,10,34,25,6,24,16,22,22,11,35,7,26,18,24,24,11,4,20,15,19,21,9,7,7,4,7,6,18,23,23,10,14,19,6,20,7,8,1,1
49516,373,12,28,35,31,51,47,34,48,38,25,23,15,14,27,28,22,27,21,19,20,20,44,41,32,43,36,28,29,42,41,28,40,31,27,38,34,24,35,30,23,63,46,64,50,36,46,61,47,33,45,40,28,49,36,32,4,1
49516,391,53,30,42,48,54,49,48,43,21,11,37,47,56,61,56,54,50,26,16,29,34,38,33,33,29,9,8,42,48,43,43,43,22,12,56,51,49,45,26,16,57,55,51,26,16,50,46,26,16,46,22,13,24,15,16,1,4
49517,393,53,48,57,50,25,24,53,47,56,27,42,53,44,23,17,47,41,48,26,44,44,23,18,40,35,44,24,46,24,20,51,43,52,26,22,22,43,36,45,24,8,21,24,23,20,18,19,21,10,39,48,21,44,23,24,1,1
49517,401,36,54,53,54,55,31,25,5,3,18,36,36,37,37,28,21,5,5,17,53,54,56,31,28,5,5,21,54,54,29,25,3,5,18,55,32,27,4,5,20,31,28,5,5,21,20,5,5,18,5,5,21,2,5,5,1,1
49518,338,44,34,55,14,20,58,53,25,3,30,22,40,11,11,44,40,15,3,21,32,13,15,35,31,18,3,19,14,18,54,49,23,3,27,10,14,15,7,3,12,19,20,15,3,19,53,25,3,29,25,3,30,2,19,3,0,0
49518,375,30,30,40,36,26,32,24,34,30,25,41,44,40,39,35,35,39,28,26,45,40,39,37,35,39,31,25,49,41,45,36,47,38,26,37,39,33,43,31,25,33,34,35,26,23,28,39,32,19,31,24,22,32,22,20,0,0
49519,402,53,44,52,50,52,20,50,45,46,39,52,60,56,60,26,58,51,51,45,51,47,52,24,49,42,42,36,55,59,26,57,50,50,45,55,22,53,47,46,41,25,57,50,50,44,24,23,17,25,48,48,43,42,41,36,0,2
49519,399,5,3,5,40,16,19,36,36,35,5,3,5,4,5,4,4,5,5,5,3,2,3,3,3,3,3,3,4,5,4,4,5,5,5,23,28,49,48,45,4,16,23,20,22,5,27,31,28,4,44,45,4,45,5,5,2,0
49522,395,28,45,58,53,51,33,56,28,18,10,20,24,22,27,16,26,4,12,7,45,40,36,24,43,19,12,8,51,47,33,53,28,14,10,45,29,50,26,12,9,26,47,20,17,10,29,19,6,4,25,17,10,9,7,5,2,2
49522,385,39,36,41,24,25,10,26,28,14,14,36,41,22,24,8,25,26,12,14,37,25,26,10,27,26,14,14,22,24,7,25,28,12,15,24,10,25,24,14,13,9,27,26,14,14,10,9,10,5,35,25,15,20,15,9,2,2
49521,336,5,5,6,6,6,4,6,6,6,5,32,28,31,30,20,33,11,5,18,49,44,49,33,55,14,5,23,44,53,32,59,12,6,22,46,32,50,14,6,24,31,58,14,6,25,39,13,4,22,15,6,27,6,14,5,2,1
49521,394,50,48,50,45,5,39,37,47,24,19,55,61,55,7,45,47,56,29,24,55,49,5,44,41,51,28,23,55,8,46,46,56,29,24,6,42,46,50,28,23,3,4,8,2,2,37,41,28,24,41,29,24,27,22,24,1,2
50053,397,23,20,18,16,20,18,13,22,20,17,51,34,25,34,43,26,48,36,23,37,23,31,46,23,48,33,22,18,24,34,16,34,22,14,17,17,12,21,19,14,29,23,30,31,21,18,44,28,20,22,25,15,32,22,23,1,2
50053,353,9,25,18,26,21,27,9,26,6,1,22,25,24,22,9,5,9,4,1,40,47,43,28,7,27,4,1,43,40,21,9,21,6,1,47,29,8,28,5,1,24,6,23,4,1,9,29,6,1,9,6,1,6,1,1,2,1
49523,380,20,28,15,33,31,31,28,28,8,10,28,14,32,33,29,26,31,13,13,32,52,49,48,38,44,15,22,34,32,32,22,26,13,17,55,55,43,51,21,27,51,41,48,20,26,40,47,19,25,37,11,13,21,27,20,1,1
49523,374,38,25,24,39,33,46,10,34,13,5,25,22,32,33,36,9,38,18,5,9,21,19,26,8,22,14,5,22,21,21,7,18,11,4,33,37,8,29,17,4,32,9,27,18,5,11,33,16,5,8,8,5,15,5,5,1,1
50054,346,39,46,32,48,45,27,28,4,4,50,53,37,52,48,21,21,4,4,46,42,58,53,25,25,4,4,53,41,40,19,20,4,4,35,51,26,27,4,4,55,22,23,4,4,48,26,4,4,27,4,4,28,5,4,4,1,1
50054,335,48,49,21,41,33,40,20,4,27,27,46,20,34,30,37,19,4,23,23,16,37,36,37,17,4,22,22,20,9,20,20,4,22,22,21,33,19,4,26,26,25,7,4,12,12,18,3,25,25,4,21,21,4,4,28,1,1
50056,347,5,28,11,25,27,26,26,27,29,28,5,6,6,5,5,5,6,6,6,29,50,58,46,50,38,37,54,35,35,30,30,23,17,37,59,51,56,45,35,62,53,56,46,37,63,48,37,28,55,45,35,58,37,48,38,1,1
50056,341,26,29,28,25,29,28,26,25,25,3,27,26,23,27,26,25,23,23,3,59,56,62,45,57,49,55,3,53,59,43,55,46,52,2,56,39,51,44,49,3,45,57,49,55,3,42,33,39,3,44,51,3,46,3,3,1,1
50057,343,14,19,21,12,12,14,14,22,14,1,20,32,20,10,13,23,28,11,1,34,22,19,17,24,30,17,1,31,30,24,29,41,24,1,19,15,15,19,14,1,20,10,22,22,1,14,27,25,1,29,13,1,27,1,1,2,1
50057,301,29,25,26,29,29,26,22,29,19,28,20,19,23,23,21,16,22,15,23,21,24,24,23,19,24,16,23,31,31,28,24,29,19,27,56,51,43,47,32,45,52,43,48,32,43,39,43,27,39,34,22,32,27,35,29,1,2
50058,396,52,57,57,31,46,60,39,48,8,31,50,50,26,41,53,35,43,8,28,56,32,44,60,40,48,8,30,30,45,59,40,48,7,28,28,32,22,24,8,15,47,31,39,7,22,41,51,8,32,34,8,21,4,26,6,2,0
50058,304,5,5,5,4,5,5,5,4,5,5,5,5,4,5,5,5,4,5,5,7,4,7,7,7,5,6,7,4,10,10,10,8,9,10,4,4,4,4,4,4,27,26,22,26,23,48,54,45,53,43,37,42,41,51,40,0,2
50059,342,19,18,15,17,17,17,19,20,5,5,36,16,25,35,31,30,27,5,5,19,24,50,46,44,25,5,5,18,17,18,20,17,5,5,26,25,25,22,5,5,51,44,24,5,5,43,23,5,5,27,5,5,5,5,40,0,2
50059,334,4,16,7,43,47,48,17,38,44,13,3,4,4,4,4,4,4,3,4,6,17,21,21,15,17,18,12,5,7,7,7,6,5,7,48,49,18,39,45,11,57,22,43,50,14,22,44,51,14,19,19,11,40,12,11,2,0
50060,307,47,56,55,52,54,55,14,13,46,20,52,50,49,49,48,13,7,42,21,59,56,58,57,15,13,51,23,56,57,57,14,13,50,23,54,54,14,10,47,23,55,14,12,48,22,14,13,48,21,5,13,1,13,2,22,3,1
50060,320,12,8,10,12,12,11,11,12,12,12,23,41,44,52,54,46,54,20,54,17,19,22,22,18,22,13,23,34,38,40,35,40,13,40,42,43,38,43,16,43,51,43,51,19,51,45,53,19,53,46,14,45,20,53,20,1,3
50061,400,22,26,26,26,23,18,19,21,15,21,35,32,29,34,21,16,24,15,32,46,43,40,29,21,33,18,43,44,35,27,21,34,18,40,32,26,21,35,17,37,26,18,24,16,39,12,17,10,29,16,12,15,14,27,12,1,1
50061,348,16,43,40,26,44,37,13,32,17,28,24,20,16,19,19,7,12,24,17,52,34,52,47,14,39,27,37,33,48,43,12,38,22,34,30,30,5,21,18,23,45,14,37,21,34,8,30,22,32,14,8,9,13,25,19,1,1
50062,345,4,4,4,4,4,3,4,4,4,4,25,24,16,22,24,24,21,14,24,57,18,54,51,49,36,14,24,17,53,50,46,31,15,23,15,16,15,13,10,16,45,42,29,14,22,42,30,13,23,28,14,23,11,19,15,1,2
50062,332,34,35,43,27,24,18,34,9,29,23,30,46,36,20,17,33,12,30,17,40,19,26,20,25,9,25,26,34,30,21,40,12,40,26,14,11,28,10,24,11,24,21,11,32,29,16,9,23,23,11,30,19,10,9,28,2,1
50063,350,23,42,41,44,43,35,41,34,47,48,22,13,24,21,20,12,23,24,24,41,45,42,37,37,30,46,48,40,37,30,43,21,41,43,41,35,39,30,46,48,30,35,33,47,49,28,22,35,36,23,40,42,35,35,56,3,1
50063,340,14,45,30,45,33,44,29,34,29,15,20,16,16,17,17,13,16,14,11,41,54,46,53,38,45,39,18,37,35,37,23,33,29,15,42,51,38,42,36,17,42,32,35,31,14,39,43,36,16,31,23,10,31,15,17,1,3
50064,344,52,52,45,48,24,47,24,24,20,13,58,51,54,30,53,26,26,20,13,51,53,31,52,27,27,21,12,47,24,45,21,21,18,8,30,51,26,25,20,11,27,20,18,16,9,24,21,16,11,23,19,11,17,11,8,2,1
50064,333,25,22,25,18,23,21,21,19,25,14,41,50,41,45,41,36,44,40,15,57,48,50,53,43,48,50,21,56,58,56,51,55,56,21,48,47,44,45,47,19,48,44,50,48,20,44,48,49,20,41,44,19,45,18,21,1,2
50607,354,9,26,16,25,25,26,25,25,11,19,22,24,34,34,27,31,16,26,14,33,46,47,42,42,29,30,21,37,37,32,34,23,24,15,59,51,54,36,43,24,53,55,37,44,25,48,34,35,23,36,39,25,22,24,11,1,0
50607,306,15,16,6,6,17,6,17,17,11,17,23,7,7,25,7,25,25,12,22,7,7,25,6,25,25,11,22,7,7,3,7,7,6,7,7,3,7,7,6,7,32,53,27,12,24,25,7,5,7,27,12,24,12,24,12,0,1
50610,323,26,16,16,14,6,14,15,15,15,16,38,24,37,29,35,38,38,31,38,36,54,49,55,57,58,51,59,32,26,34,34,35,35,36,46,51,53,54,47,54,46,48,49,42,49,53,54,48,55,57,50,57,51,58,51,2,1
50610,322,8,16,18,5,24,1,26,24,18,1,8,8,4,8,1,8,8,6,1,12,4,15,1,13,12,10,1,5,17,1,18,16,16,1,4,18,5,5,5,1,1,40,24,17,1,1,1,1,1,27,18,1,16,1,1,1,2
50613,317,38,19,49,60,48,34,22,54,53,50,17,29,38,31,27,18,33,31,29,26,18,17,16,18,14,18,16,48,39,31,23,43,45,43,47,34,21,53,52,49,31,19,43,42,42,18,29,27,28,17,23,17,48,45,44,5,1
50613,302,0,0,0,0,0,0,0,0,0,0,3,8,6,8,5,8,8,7,6,3,1,3,3,3,3,3,3,16,19,12,22,24,21,16,11,7,13,15,13,9,9,18,18,17,11,10,12,10,5,21,19,15,20,16,14,1,5
50615,352,15,14,15,16,6,13,16,15,16,14,33,41,38,26,42,45,24,50,31,31,34,18,32,33,24,35,27,33,25,37,40,25,46,27,18,37,38,27,41,31,23,27,15,28,13,40,25,44,29,27,51,31,27,22,32,1,3
